YEAR,DATE,TIME ,VENUE,COMPETITION,HOME,SCORE H,AWAY,SCORE A
2017,21/09/2017,20:00,,U16Boys,Drogheda,8,Clontarf,14
2017,21/09/2017,20:40,,LLD2,Drogheda,10,Clontarf,7
2017,21/09/2017,21:20,,LLD3,Drogheda,13,Clontarf,6
2017,28/09/2017,20:00,,U16Girls,Clontarf,6,St Vincents,9
2017,28/09/2017,20:40,,LLD3,Sandycove,5,St Vincents,10
2017,28/09/2017,21:20,,LLD2,North Dublin,5,Sandycove,7
2017,05/10/2017,20:00,,LLD2,Drogheda,0,Trinity,4 (w/o)
2017,05/10/2017,20:40,,LLD2,Clontarf,5,Half Moon,9
2017,05/10/2017,21:20,,LLD2,Sandycove,5,North Dublin,7
2017,12/10/2017,20:00,,U16Boys,St Vincents,5,Clontarf,8
2017,12/10/2017,20:40,,LLD3,North Dublin,2,Drogheda,9
2017,12/10/2017,21:20,,LLD3,Clontarf,7,Sandycove,6
2017,19/10/2017,20:00,,,,0,,1
2017,19/10/2017,20:40,,LLD2,Trinity,3,Half Moon,7
2017,19/10/2017,21:20,,LLD2,Sandycove,4,Drogheda,5
2017,26/10/2017,20:00,,U16Boys,North Dublin,2,St Vincents,10
2017,26/10/2017,20:40,,LLD3,Sandycove,6,North Dublin,10
2017,26/10/2017,21:20,,LLD3,St Vincents,6,Clontarf,5
2017,02/11/2017,20:00,,,,0,,1
2017,02/11/2017,20:40,,U16 Boys S/F 1,Drogheda,0,Clontarf,4 (w/o)
2017,02/11/2017,21:20,,U16 Boys S/F 2,St Vincents,10,North Dublin,5
2017,16/11/2017,20:00,,Div 2 S/F 1,Clontarf,3,North Dublin,10
2017,16/11/2017,20:40,,Div 2 S/F 2,Drogheda,8,Half Moon,6
2017,16/11/2017,21:20,,Div 3 S/F 2,North Dublin,8,St Vincents,"10 (pens, 6-6)"
2017,23/11/2017,20:00,,Div 1 S/F 1,Sandycove,6,St Vincents,12
2017,23/11/2017,21:00,,Div 1 S/F 2,North Dublin,12,Half Moon,10
2017,30/11/2017,20:00,,U16Girls S/F,North Dublin,2,St Vincents,14
2017,30/11/2017,20:40,,U16Boys,St Vincents,13,Drogheda,0
2017,30/11/2017,21:20,,Ladies S/F 11,St Vincents,6,Clontarf,3
2017,07/12/2017,20:00,,U19 Boys S/F 1,St Vincents,5,Drogheda,7
2017,07/12/2017,20:40,,U19 Boys S/F 2,Clontarf,7,Sandycove,8
2017,07/12/2017,21:20,,Div 3 S/F 1,Sandycove,5,Clontarf,4
2017,14/12/2017,20:00,,U16Girls,North Dublin,3,St Vincents,6
2017,14/12/2017,20:40,,LLD3,North Dublin,6,St Vincents,7
2017,14/12/2017,21:20,,LLD3,Sandycove,5,Clontarf,3
2017,16/12/2017,14:15,,U16 Girls Final,St Vincents,12,Clontarf,5
2017,16/12/2017,14:55,,U16 Sean Lawlor Cup,Clontarf,3,St Vincents,7
2017,16/12/2017,15:35,,U19 Girls Final,St Vincents,12,Clontarf,4
2017,16/12/2017,16:15,,U19 Arthur Dunne Final,Drogheda,6,Sandycove,5
2017,16/12/2017,16:55,,Div 3 Final,Sandycove,6,St Vincents,3
2017,16/12/2017,17:35,,Div 2 Final,North Dublin,10,Drogheda,8 pens (7-7)
2017,16/12/2017,18:15,,Ladies Final,St Vincents,16,Trinity,1
2017,16/12/2017,19:15,,Leinster Senior Cup,St Vincents,4,Nth Dublin,8
2018,11/01/2018,20:00,,U16Girls,St Vincents,10,Clontarf,3
2018,11/01/2018,20:40,,U16Boys,Nth Dublin,3,Clontarf,14
2018,18/01/2018,20:00,,LLD2,Drogheda,4,Sandycove,9
2018,18/01/2018,20:40,,LLD2,Half Moon,3,Clontarf,5
2018,18/01/2018,21:20,,LLD2,North Dublin,5,Trinity,5
2018,25/01/2018,20:00,,U16Boys,Clontarf,3,St Vincents,8
2018,25/01/2018,20:40,,LLD3,St Vincents,9,Sandycove,1
2018,25/01/2018,21:20,,LLD3,Clontarf,3,North Dublin,2
2018,01/02/2018,20:00,,LLD2,North Dublin,8,Half Moon,5
2018,01/02/2018,20:40,,LLD2,Sandycove,5,Clontarf,4
2018,01/02/2018,21:20,,LLD2,Trinity,3,Drogheda,6
2018,08/02/2018,20:00,,LLD2,Trinity,2,Sandycove,13
2018,08/02/2018,20:40,,LLD2,Half Moon,6,Drogheda,4
2018,08/02/2018,21:20,,LLD2,North Dublin,5,Clontarf,2
2018,15/02/2018,20:00,,U16Boys,St Vincents,5,North Dublin,4
